id,active,year,mileage,price,make_id,model_id,submodel_id,body_type,transmission,fuel_type,exterior_color,created_at,updated_at,
cf5526c705a534282a973f0d2d018885,t,2015,76000,55000,honda,342,128,Sedan,Automatic,,White,2018-06-30 11:16:59+02,2019-08-15 02:02:41.012484+02,
8d6c7f6f7c4cc2c2259492a6040381da,t,2014,81000,279000,porsche,757,1200,Coupe,Automatic,Petrol,White,2019-06-22 17:30:39.64418+02,2019-08-16 02:30:29.261221+02,
639ee699fc48ca80a92b06e2ca1105ef,t,2002,145000,8000,mitsubishi,661,226,SUV,Automatic,Petrol,Brown,2019-06-11 00:06:49.995146+02,2019-08-16 05:57:02.935195+02,
d874696a5c8682c94918361cacc08d8e,t,2008,165000,20000,bmw,75,730,Sedan,Automatic,Petrol,Black,2019-07-26 03:57:53.793068+02,2019-08-16 03:26:54.752679+02,
54e7616d98e8d95e2dfdcbae19f09d41,t,2009,178000,28000,bmw,72,721,Coupe,Automatic,Petrol,Grey,2019-08-02 03:57:38.962981+02,2019-08-16 03:27:52.05151+02,
43a85da0accdc3c2f6d71cb1e4225fb7,t,2010,198000,63000,cadillac,130,354,SUV,Automatic,,Black,2018-06-30 11:00:25+02,2019-08-15 00:03:27.150041+02,
7e615175ecc3ab50221b62f10af872b8,t,2014,150000,28500,toyota,881,501,Van,Automatic,Petrol,White,2018-07-16 08:50:11+02,2019-08-16 08:46:11.454159+02,
7b9c8dfc49902cb9a7ca353157c69c42,t,2016,68000,180000,nissan,687,1183,SUV,Automatic,Petrol,Black,2019-07-11 14:48:42.234938+02,2019-08-16 02:21:23.022556+02,
b7e1f9b6910986db2edd6b0f365205bd,t,2019,2421,77900,hyundai,388,1375,SUV,Automatic,Petrol,Grey,2019-08-11 02:47:56.917237+02,2019-08-16 02:36:42.22888+02,
edcab8f2d41a5b22dac3debed6892eb4,t,2014,63300,179000,land-rover,485,964,SUV,Automatic,Petrol,White,2019-07-24 00:12:19.712532+02,2019-08-16 02:08:57.374661+02,
c94e83d5ba548a6249979fdd1ded2465,t,2016,24000,949000,rolls-royce,rolls-royce-dawn,1534,Convertible,Automatic,Petrol,White,2019-07-17 01:10:50.61759+02,2019-08-16 00:46:09.439613+02,
9d8d394e9e1b80b9e1d2939cf8768995,t,2004,230000,6500,honda,345,334,Sedan,Automatic,Petrol,Black,2018-09-04 23:29:55+02,2019-08-16 08:11:52.753856+02,
50fd1d9fffd128d97c1f8ebaf7acf6de,t,2017,51000,195000,nissan,687,1185,SUV,Automatic,Petrol,Black,2019-06-22 17:11:01.826734+02,2019-08-16 02:20:29.50495+02,
2b56a7a18127d423b1e2d43f9234ac32,t,2016,29279,27470,mitsubishi,650,164,Sedan,Automatic,Petrol,Grey,2019-06-15 08:03:55.409858+02,2019-08-16 02:07:54.600221+02,
675f89342059a4114cc05b844bd0a0e7,t,2015,0,5500000,porsche,759,1207,Coupe,Automatic,Hybrid,Grey,2019-02-27 12:49:53.174024+01,2019-08-16 02:38:37.31727+02,
ad7add2deac4613f1393d2181ccabf67,t,2005,135500,35000,toyota,882,1570,SUV,Automatic,Petrol,White,2019-07-21 00:42:04.289747+02,2019-08-16 01:53:46.894636+02,
e40d9508e93a2549491f51ee64e125cc,t,2014,73000,56000,chevrolet,154,469,Sports,Automatic,Petrol,Red,2019-06-13 00:13:39.865849+02,2019-08-16 05:51:16.903191+02,
7b9c2920d7713041a530ddaf14c5aead,t,2014,98000,35000,suzuki,855,79,Sedan,Automatic,,Silver,2019-06-11 00:10:30.207359+02,2019-08-16 05:26:48.215324+02,
0d9c6dbb605ce27f774951e78eb800ec,t,2002,263000,22000,toyota,882,460,SUV,Automatic,Petrol,Black,2019-05-16 00:00:28.26951+02,2019-08-16 00:28:45.479316+02,
