id,name,active,model_id,created_at,updated_at
1570,Prado,t,882,2017-05-18 15:53:44.587+02,2018-08-30 18:21:10.239776+02
1564,XL,t,toyota-venza,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1561,SR,t,toyota-tundra,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1557,SL,t,toyota-solara,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1556,SE,t,toyota-solara,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1555,XL,t,toyota-sienna,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1554,SE,t,toyota-sienna,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1552,LE,t,toyota-sienna,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1549,SL,t,toyota-quest,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1547,XL,t,toyota-highlander,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1545,LE,t,toyota-highlander,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1538,GX,t,suzuki-samurai,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1529,ZX,t,nissan-z280,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1527,ZX,t,nissan-z240,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1525,SV,t,nissan-versa,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1524,SL,t,nissan-versa,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1520,GR,t,nissan-safari,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1518,SL,t,nissan-rogue,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1508,Passion,t,mercedes-benz-smart,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1506,S600,t,mercedes-benz-s-class-maybach,2017-05-02 14:09:26+02,2018-08-30 18:19:59.079732+02
1505,S500,t,mercedes-benz-s-class-maybach,2017-05-02 14:09:26+02,2018-08-30 18:19:58.559782+02
1503,AMG,t,mercedes-benz-gts,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1502,S600,t,mercedes-benz-brabus,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1501,S V12 R,t,mercedes-benz-brabus,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1500,K 8,t,mercedes-benz-brabus,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1499,B63,t,mercedes-benz-brabus,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1498,B11,t,mercedes-benz-brabus,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1497,850,t,mercedes-benz-brabus,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1496,GLS500,t,mercedes-benz-gls-class,2017-05-02 14:09:26+02,2018-08-30 18:19:57.739762+02
1493,50,t,mazda-bt,2017-05-02 14:09:26+02,2018-08-30 18:19:03.359544+02
1492,8,t,mazda-rx,2017-05-02 14:09:26+02,2018-08-30 18:19:04.239701+02
1491,7,t,mazda-rx,2017-05-02 14:09:26+02,2018-08-30 18:19:03.779653+02
1490,Hennessey Venom,t,lotus-gt,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1486,RS,t,koenigsegg-agera,2017-05-02 14:09:26+02,2018-08-30 18:18:39.007282+02
1485,R,t,koenigsegg-agera,2017-05-02 14:09:26+02,2018-08-30 18:18:38.579805+02
1460,LTZ,t,chevrolet-liberty,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1459,LT,t,chevrolet-equinox,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1457,BLS,t,cadillac-liberty,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1455,First Edition,t,bentley-bentayga,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1454,Mulliner,t,bentley-bentayga,2017-05-02 14:09:26+02,2017-05-08 09:00:05+02
1450,SEL,t,925,2017-05-02 14:09:25+02,2017-05-08 09:00:05+02
1449,SE,t,925,2017-05-02 14:09:25+02,2017-05-08 09:00:05+02
1448,S,t,925,2017-05-02 14:09:25+02,2017-05-08 09:00:05+02
1447,S,t,924,2017-05-02 14:09:25+02,2017-05-08 09:00:05+02
1446,TSI,t,924,2017-05-02 14:09:25+02,2017-05-08 09:00:05+02
1445,SEL,t,924,2017-05-02 14:09:25+02,2017-05-08 09:00:05+02
1444,SE,t,924,2017-05-02 14:09:25+02,2017-05-08 09:00:05+02
1443,TDI,t,924,2017-05-02 14:09:25+02,2017-05-08 09:00:05+02
1442,SE,t,919,2017-05-02 14:09:25+02,2017-05-02 14:09:25+02
1441,S,t,919,2017-05-02 14:09:25+02,2017-05-02 14:09:25+02
1440,SEL,t,916,2017-05-02 14:09:25+02,2017-05-08 09:00:05+02
1439,S,t,916,2017-05-02 14:09:25+02,2017-05-08 09:00:05+02
1438,TSI,t,916,2017-05-02 14:09:25+02,2017-05-08 09:00:05+02
1437,TDI,t,914,2017-05-02 14:09:25+02,2017-05-08 09:00:05+02
1436,Sport,t,914,2017-05-02 14:09:25+02,2017-05-08 09:00:05+02
1435,GLI,t,914,2017-05-02 14:09:25+02,2017-05-08 09:00:05+02
1434,SEL,t,914,2017-05-02 14:09:25+02,2017-05-08 09:00:05+02
1433,S,t,914,2017-05-02 14:09:25+02,2017-05-08 09:00:05+02
1432,SEL,t,906,2017-05-02 14:09:25+02,2017-05-08 09:00:05+02
1431,SE,t,906,2017-05-02 14:09:25+02,2017-05-08 09:00:05+02
1430,S,t,906,2017-05-02 14:09:25+02,2017-05-08 09:00:05+02
